Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1970-01-02,0.2387113390967478,0.24719345475455876,0.2387113390967478,0.24355827271938324,56400,0.0,0.0
1970-01-05,0.24598159959360646,0.2520402669906616,0.24598159959360646,0.2520402669906616,116100,0.0,0.0
1970-01-06,0.2520402669906616,0.25688718345378614,0.24961679421366637,0.2520402669906616,92900,0.0,0.0
1970-01-07,0.2520404351185627,0.2556756321635432,0.25082868337631226,0.25082868337631226,67900,0.0,0.0
1970-01-08,0.25204025152644793,0.25688716769218445,0.25204025152644793,0.25688716769218445,59100,0.0,0.0
1970-01-09,0.25688717585704673,0.2580989267551432,0.2520402595372566,0.25446373224258423,79200,0.0,0.0
1970-01-12,0.2544639003267445,0.2544639003267445,0.2508286743221,0.25325214862823486,59500,0.0,0.0
1970-01-13,0.25325201292736327,0.25325201292736327,0.24476990103721616,0.2447699010372162,109800,0.0,0.0
1970-01-14,0.24477004102860167,0.25082868337631226,0.24477004102860167,0.25082868337631226,46800,0.0,0.0
1970-01-15,0.2484050960031176,0.2484050960031176,0.24355816453343757,0.2447699010372162,69100,0.0,0.0
1970-01-16,0.24476990103721616,0.2484050960031176,0.24234642802965894,0.2447699010372162,46400,0.0,0.0
1970-01-19,0.24476988199676972,0.24840507667989237,0.24234640917773242,0.2459816038608551,45200,0.0,0.0
1970-01-20,0.2459816229955604,0.2471933449539046,0.23992296956753612,0.2447699010372162,51400,0.0,0.0
1970-01-21,0.24719348011496264,0.2714281361690133,0.24719348011496264,0.2641577422618866,147100,0.0,0.0
1970-01-22,0.2641576068508327,0.26658107994119545,0.25446377267112147,0.2556754946708679,161500,0.0,0.0
1970-01-23,0.2556756321635432,0.25688735481490826,0.2496169607249472,0.25082868337631226,64000,0.0,0.0
1970-01-26,0.24961673386059033,0.24961673386059033,0.237499416541674,0.24234634637832642,98000,0.0,0.0
1970-01-27,0.24234634637832644,0.24234634637832644,0.23628769499158303,0.24234634637832642,56400,0.0,0.0
1970-01-28,0.23992294152988317,0.23992294152988317,0.23022907972335815,0.23022907972335815,111000,0.0,0.0
1970-01-29,0.2290172797465755,0.2290172797465755,0.2217468926839087,0.22659382224082947,230600,0.0,0.0
1970-01-30,0.2265939967220796,0.22780573368072513,0.22295880039158292,0.2278057336807251,170100,0.0,0.0
1970-02-02,0.22780562154444325,0.23022907972335815,0.22538214882009566,0.23022907972335815,138300,0.0,0.0
1970-02-03,0.2302291751983357,0.23265263438224792,0.2241705199658357,0.23265263438224792,145900,0.0,0.0
1970-02-04,0.23559767446754482,0.23559767446754482,0.22578111329030862,0.22946232557296753,154600,0.04767,0.0
1970-02-05,0.2294622191769604,0.2294622191769604,0.2245539334994128,0.22578100860118866,79600,0.0,0.0
1970-02-06,0.22578100860118866,0.2270080837029645,0.22332685839763697,0.22578100860118866,114800,0.0,0.0
1970-02-09,0.22578100860118866,0.22578100860118866,0.22332685839763697,0.22578100860118866,124900,0.0,0.0
1970-02-10,0.22578100860118866,0.22578100860118866,0.22332685839763697,0.22578100860118866,65300,0.0,0.0
1970-02-11,0.22578115241724994,0.22823528945446014,0.22455407653386225,0.22823528945446014,78300,0.0,0.0
1970-02-12,0.22823514407518458,0.22823514407518458,0.2245539334994128,0.22578100860118866,70300,0.0,0.0
1970-02-13,0.22578100860118866,0.22823514407518458,0.2245539334994128,0.22578100860118866,50200,0.0,0.0
1970-02-16,0.2257811180347822,0.22700819373130798,0.22332696664173068,0.22700819373130798,71600,0.0,0.0
1970-02-17,0.22578113771026628,0.22578113771026628,0.22087284922599792,0.22087284922599792,86700,0.0,0.0
1970-02-18,0.222099801467133,0.2270080872207407,0.222099801467133,0.22332686185836792,84200,0.0,0.0
1970-02-19,0.22332703610007137,0.22823532568316945,0.22209997475147247,0.22209997475147247,107300,0.0,0.0
1970-02-20,0.22332700090601787,0.23068944148520332,0.22332700090601787,0.22455407679080963,188600,0.0,0.0
1970-02-24,0.2245539334994128,0.2270080837029645,0.2245539334994128,0.22578100860118866,167200,0.0,0.0
1970-02-25,0.22578100860118866,0.22823514407518458,0.22332685839763697,0.22578100860118866,201700,0.0,0.0
1970-02-26,0.22578115267560142,0.22700822856039318,0.22332700090601787,0.22455407679080963,192400,0.0,0.0
1970-02-27,0.22455411515808335,0.23559775581942813,0.2220999776987515,0.23068948090076447,222700,0.0,0.0
1970-03-02,0.23314345978237494,0.2417329571420498,0.23314345978237494,0.23559759557247162,211300,0.0,0.0
1970-03-03,0.23559759346426598,0.24173295497894287,0.2331434576961297,0.24173295497894287,124500,0.0,0.0
1970-03-04,0.24173294569803713,0.24664123177542224,0.2405058704963016,0.24296002089977264,164800,0.0,0.0
1970-03-05,0.24296003022778978,0.24541416599592603,0.23927881921080663,0.24173295497894287,108100,0.0,0.0
1970-03-06,0.24173320617939148,0.2429602827033721,0.23559783828906103,0.2368249148130417,80900,0.0,0.0
1970-03-09,0.2368246708322988,0.23805174609212595,0.23437053504220212,0.23559759557247162,67000,0.0,0.0
1970-03-10,0.23559765082473627,0.23927887746753754,0.23437059000669697,0.23805180191993713,39400,0.0,0.0
