Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1985-11-20,0.0,0.16513513889253298,0.16213268041610718,0.16213268041610718,5371600,0.0,0.0
1985-11-21,0.0,0.15913017134353466,0.1531252562999725,0.15312525629997253,6556800,0.0,0.0
1985-11-22,0.0,0.1591302394833262,0.15612778067588806,0.15612778067588806,415200,0.0,0.0
1985-11-25,0.0,0.15612771382175358,0.1531252562999725,0.15312525629997253,626400,0.0,0.0
1985-11-26,0.0,0.15612771382175358,0.1531252562999725,0.15312525629997253,504400,0.0,0.0
1985-11-27,0.0,0.15612771382175358,0.1531252562999725,0.15312525629997253,295200,0.0,0.0
1985-11-29,0.0,0.15612771382175358,0.1531252562999725,0.15312525629997253,338400,0.0,0.0
1985-12-02,0.0,0.1531253053449862,0.147120401263237,0.147120401263237,218800,0.0,0.0
1985-12-03,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,813600,0.0,0.0
1985-12-04,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,247600,0.0,0.0
1985-12-05,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,237600,0.0,0.0
1985-12-06,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,302800,0.0,0.0
1985-12-09,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,561600,0.0,0.0
1985-12-10,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,182800,0.0,0.0
1985-12-11,0.0,0.1501228468615377,0.147120401263237,0.147120401263237,490000,0.0,0.0
1985-12-12,0.0,0.1561277062822842,0.15012279152870178,0.15012279152870178,288400,0.0,0.0
1985-12-13,0.0,0.15913017134353466,0.1531252562999725,0.15312525629997253,686800,0.0,0.0
1985-12-16,0.0,0.15913017134353466,0.1531252562999725,0.15312525629997253,393600,0.0,0.0
1985-12-17,0.0,0.15913017134353466,0.1531252562999725,0.15312525629997253,64800,0.0,0.0
1985-12-18,0.0,0.1561277062822842,0.15012279152870178,0.15012279152870178,389200,0.0,0.0
1985-12-19,0.0,0.15312524890549298,0.15012279152870178,0.15012279152870178,148800,0.0,0.0
1985-12-20,0.0,0.15312524890549298,0.15012279152870178,0.15012279152870178,439600,0.0,0.0
1985-12-23,0.0,0.1531253053449862,0.147120401263237,0.147120401263237,180400,0.0,0.0
