Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1962-01-02,0.0,6.321474188553111e-07,6.288720560821849e-07,6.321474188553111e-07,0,0.0,0.0
1962-01-03,0.0,6.255960142064893e-07,6.223206128197489e-07,6.223206128197489e-07,345600,0.0,0.0
1962-01-04,0.0,6.255962716257202e-07,6.15770147760486e-07,6.15770147760486e-07,216000,0.0,0.0
1962-01-05,0.0,6.108572939108419e-07,6.059442512196256e-07,6.059442512196256e-07,129600,0.0,0.0
1962-01-08,0.0,6.010311700262815e-07,5.961181273050897e-07,5.961181273050897e-07,172800,0.0,0.0
1962-01-09,0.0,6.026687060511904e-07,6.026687060511904e-07,6.026687060511904e-07,43200,0.0,0.0
1962-01-10,0.0,6.15770147760486e-07,6.07581704177936e-07,6.15770147760486e-07,172800,0.0,0.0
1962-01-11,0.0,6.157704617440392e-07,6.124950573394017e-07,6.124950573394017e-07,172800,0.0,0.0
1962-01-12,0.0,6.157703787712028e-07,6.059442512196256e-07,6.059442512196256e-07,259200,0.0,0.0
1962-01-15,0.0,6.108572939108419e-07,6.059442512196256e-07,6.059442512196256e-07,129600,0.0,0.0
1962-01-16,0.0,6.108571080450619e-07,6.026687060511904e-07,6.026687060511904e-07,345600,0.0,0.0
1962-01-17,0.0,6.092196130137698e-07,6.026688894254814e-07,6.059442512196256e-07,259200,0.0,0.0
1962-01-18,0.0,6.026685989002826e-07,6.010308766235539e-07,6.010308766235539e-07,172800,0.0,0.0
1962-01-19,0.0,6.075823080209375e-07,6.043069442003631e-07,6.075823080209375e-07,129600,0.0,0.0
1962-01-22,0.0,6.026685989002826e-07,6.010308766235539e-07,6.010308766235539e-07,172800,0.0,0.0
1962-01-23,0.0,6.026688931024902e-07,5.961181273050897e-07,5.961181273050897e-07,259200,0.0,0.0
1962-01-24,0.0,5.961182633754296e-07,5.928429008136654e-07,5.944805820945476e-07,302400,0.0,0.0
1962-01-25,0.0,5.961181715676578e-07,5.912050863125182e-07,5.9284280951033e-07,129600,0.0,0.0
