Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1973-05-03,0.4413840174674987,0.4533133509479351,0.4413840174674987,0.4413840174674988,35700,0.0,0.0
1973-05-04,0.4712075293064118,0.4950661583270822,0.4712075293064118,0.47120752930641174,59500,0.0,0.0
1973-05-07,0.4473489820957184,0.4712076154795914,0.4473489820957184,0.4473489820957184,66100,0.0,0.0
1973-05-08,0.4413840174674987,0.4533133509479351,0.4413840174674987,0.4413840174674988,23800,0.0,0.0
1973-05-09,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,32100,0.0,0.0
1973-05-10,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,9500,0.0,0.0
1973-05-11,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,14200,0.0,0.0
1973-05-14,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,23800,0.0,0.0
1973-05-15,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,34500,0.0,0.0
1973-05-16,0.4473489820957184,0.4712076154795914,0.4473489820957184,0.4473489820957184,20200,0.0,0.0
1973-05-17,0.4533134996891022,0.47120742955176564,0.4533134996891022,0.4533134996891022,32700,0.0,0.0
1973-05-18,0.435419499874115,0.45331347977008013,0.435419499874115,0.435419499874115,32700,0.0,0.0
1973-05-21,0.399631530046463,0.4175254818077747,0.399631530046463,0.399631530046463,76800,0.0,0.0
1973-05-22,0.399631530046463,0.4175254818077747,0.399631530046463,0.399631530046463,10700,0.0,0.0
1973-05-23,0.39366707205772394,0.40559638728151437,0.39366707205772394,0.393667072057724,30300,0.0,0.0
1973-05-24,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,55300,0.0,0.0
1973-05-25,0.38173770904541016,0.39963166693610996,0.38173770904541016,0.38173770904541016,43400,0.0,0.0
1973-05-29,0.38173770904541016,0.39963166693610996,0.38173770904541016,0.38173770904541016,16000,0.0,0.0
1973-05-30,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,500,0.0,0.0
1973-05-31,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,30300,0.0,0.0
1973-06-01,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,5900,0.0,0.0
1973-06-04,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,2300,0.0,0.0
1973-06-05,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,30900,0.0,0.0
1973-06-06,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,16000,0.0,0.0
1973-06-07,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,7700,0.0,0.0
1973-06-08,0.38173770904541016,0.39963166693610996,0.38173770904541016,0.38173770904541016,9500,0.0,0.0
1973-06-11,0.39366707205772394,0.41156103218851114,0.39366707205772394,0.393667072057724,22000,0.0,0.0
1973-06-12,0.399631530046463,0.4175254818077747,0.399631530046463,0.399631530046463,23200,0.0,0.0
1973-06-13,0.399631530046463,0.4175254818077747,0.399631530046463,0.399631530046463,5300,0.0,0.0
1973-06-14,0.39366707205772394,0.41156103218851114,0.39366707205772394,0.393667072057724,16000,0.0,0.0
1973-06-15,0.39366707205772394,0.41156103218851114,0.39366707205772394,0.393667072057724,13100,0.0,0.0
1973-06-18,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,20200,0.0,0.0
1973-06-19,0.36980825662612915,0.3936668480901221,0.36980825662612915,0.36980825662612915,7700,0.0,0.0
1973-06-20,0.38173770904541016,0.39963166693610996,0.38173770904541016,0.38173770904541016,5900,0.0,0.0
