Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,2.894745831395329e-05,2.6081373332373757e-05,2.6654590328689665e-05,1017600,0.0,0.0
1980-03-18,0.0,2.6941213945974596e-05,2.4648344673976757e-05,2.6941213945974596e-05,1824000,0.0,0.0
1980-03-19,0.0,2.8374244948281557e-05,2.722781080895705e-05,2.7514419343788177e-05,678400,0.0,0.0
1980-03-20,0.0,2.78010278786193e-05,2.7514419343788177e-05,2.7514419343788177e-05,249600,0.0,0.0
1980-03-21,0.0,2.7514418807664985e-05,2.7227810278418474e-05,2.7227810278418474e-05,441600,0.0,0.0
1980-03-24,0.0,2.7514428125116333e-05,2.4648341862083382e-05,2.4934950488386676e-05,819200,0.0,0.0
1980-03-25,0.0,2.4075127757069737e-05,2.206886711064726e-05,2.206886711064726e-05,2105600,0.0,0.0
1980-03-26,0.0,2.3215292738034175e-05,2.2355467081069946e-05,2.2355467081069946e-05,1190400,0.0,0.0
1980-03-27,0.0,2.120904471992807e-05,1.6909914033456165e-05,1.9202783732907847e-05,4467200,0.0,0.0
1980-03-28,0.0,2.2355467081069946e-05,2.0922424319462898e-05,2.2355467081069946e-05,2131200,0.0,0.0
1980-03-31,0.0,2.6081373451031848e-05,2.407511395479863e-05,2.579476495156996e-05,2489600,0.0,0.0
1980-04-01,0.0,2.6081376592138143e-05,2.5221550990199522e-05,2.5508159524179064e-05,390400,0.0,0.0
1980-04-02,0.0,2.6081381685633623e-05,2.4934947325825554e-05,2.522155591577757e-05,582400,0.0,0.0
1980-04-03,0.0,2.5221556322375206e-05,2.3788513349512977e-05,2.4361730538657866e-05,300800,0.0,0.0
1980-04-07,0.0,2.407511677053507e-05,2.350189970456995e-05,2.350189970456995e-05,851200,0.0,0.0
1980-04-08,0.0,2.378850823755251e-05,2.292868263860483e-05,2.350189970456995e-05,793600,0.0,0.0
1980-04-09,0.0,2.4648321414133534e-05,2.3788496248524224e-05,2.4648321414133534e-05,486400,0.0,0.0
1980-04-10,0.0,2.6081384993599856e-05,2.4934950488386676e-05,2.4934950488386676e-05,1126400,0.0,0.0
1980-04-11,0.0,2.6081384993599856e-05,2.4648341862083382e-05,2.4934950488386676e-05,710400,0.0,0.0
1980-04-14,0.0,2.4648344238119623e-05,2.4075126930256374e-05,2.4075126930256374e-05,294400,0.0,0.0
1980-04-15,0.0,2.436172530351763e-05,2.350189970456995e-05,2.350189970456995e-05,486400,0.0,0.0
1980-04-16,0.0,2.4361722239518713e-05,2.292867975484114e-05,2.292867975484114e-05,281600,0.0,0.0
1980-04-17,0.0,2.292867549518241e-05,2.2068850164113072e-05,2.264206705149263e-05,723200,0.0,0.0
1980-04-18,0.0,2.264208443819654e-05,2.206886711064726e-05,2.206886711064726e-05,275200,0.0,0.0
1980-04-21,0.0,2.2355466283704727e-05,2.0922423573210835e-05,2.0922423573210835e-05,403200,0.0,0.0
1980-04-22,0.0,2.4648321414133534e-05,2.1209020751696297e-05,2.4648321414133534e-05,1164800,0.0,0.0
1980-04-23,0.0,2.5221556322375206e-05,2.4361730538657866e-05,2.4361730538657866e-05,768000,0.0,0.0
1980-04-24,0.0,2.522153819120641e-05,2.3788496248524224e-05,2.4648321414133534e-05,646400,0.0,0.0
1980-04-25,0.0,2.493494772780276e-05,2.3788513349512977e-05,2.4361730538657866e-05,492800,0.0,0.0
1980-04-28,0.0,2.522155591577757e-05,2.4361730145921516e-05,2.522155591577757e-05,640000,0.0,0.0
1980-04-29,0.0,2.5794773095681606e-05,2.4934947325825554e-05,2.522155591577757e-05,377600,0.0,0.0
1980-04-30,0.0,2.6367995815235187e-05,2.5221561214572788e-05,2.636799581523519e-05,524800,0.0,0.0
1980-05-01,0.0,2.6367977005685423e-05,2.6081368559971452e-05,2.6081368559971452e-05,281600,0.0,0.0
1980-05-02,0.0,2.6081381685633623e-05,2.522155591577757e-05,2.522155591577757e-05,390400,0.0,0.0
1980-05-05,0.0,2.5794768058158602e-05,2.5508159524179064e-05,2.5508159524179064e-05,390400,0.0,0.0
1980-05-06,0.0,2.5794776367296563e-05,2.4648341862083382e-05,2.4934950488386676e-05,960000,0.0,0.0
1980-05-07,0.0,2.5508167740993266e-05,2.4934950488386676e-05,2.4934950488386676e-05,844800,0.0,0.0
1980-05-08,0.0,2.579476495156996e-05,2.4934939453184295e-05,2.579476495156996e-05,1068800,0.0,0.0
1980-05-09,0.0,2.5508167740993266e-05,2.4361733235780086e-05,2.4934950488386676e-05,371200,0.0,0.0
1980-05-12,0.0,2.5221559181192284e-05,2.3788516045897268e-05,2.3788516045897268e-05,288000,0.0,0.0
1980-05-13,0.0,2.4361717109575605e-05,2.3215283363242634e-05,2.3215283363242634e-05,364800,0.0,0.0
