Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1980-03-17,0.0,0.5155484609457911,0.5002351403236389,0.5002351403236389,25600,0.0,0.0
1980-03-18,0.0,0.5155484609457911,0.5002351403236389,0.5002351403236389,81600,0.0,0.0
1980-03-19,0.0,0.5206526987480394,0.5053393840789795,0.5053393840789795,40000,0.0,0.0
1980-03-20,0.0,0.5155484609457911,0.5002351403236389,0.5002351403236389,11200,0.0,0.0
1980-03-21,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,19200,0.0,0.0
1980-03-24,0.0,0.5002348874744617,0.4849215745925904,0.48492157459259033,112000,0.0,0.0
1980-03-25,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,49600,0.0,0.0
1980-03-26,0.0,0.5002348874744617,0.4849215745925904,0.48492157459259033,17600,0.0,0.0
1980-03-27,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,78400,0.0,0.0
1980-03-28,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,16000,0.0,0.0
1980-03-31,0.0,0.4747127771377564,0.4593994617462159,0.4593994617462158,128000,0.0,0.0
1980-04-01,0.0,0.4696084167180436,0.4542950987815857,0.4542950987815857,54400,0.0,0.0
1980-04-02,0.0,0.4747127771377564,0.4593994617462159,0.4593994617462158,20800,0.0,0.0
1980-04-03,0.0,0.4696084167180436,0.4542950987815857,0.4542950987815857,8000,0.0,0.0
1980-04-07,0.0,0.4645040871744806,0.44919076561927795,0.44919076561927795,43200,0.0,0.0
1980-04-08,0.0,0.4645040871744806,0.44919076561927795,0.44919076561927795,62400,0.0,0.0
1980-04-09,0.0,0.4696084167180436,0.4542950987815857,0.4542950987815857,33600,0.0,0.0
1980-04-10,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,24000,0.0,0.0
1980-04-11,0.0,0.4849216212397036,0.4696083068847656,0.4696083068847656,33600,0.0,0.0
1980-04-14,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,32000,0.0,0.0
1980-04-15,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,33600,0.0,0.0
1980-04-16,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,76800,0.0,0.0
1980-04-17,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,8000,0.0,0.0
1980-04-18,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,52800,0.0,0.0
1980-04-21,0.0,0.4798170144741352,0.4645037055015564,0.4645037055015564,70400,0.0,0.0
1980-04-22,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,83200,0.0,0.0
1980-04-23,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,19200,0.0,0.0
1980-04-24,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,3200,0.0,0.0
1980-04-25,0.0,0.49002628941689763,0.4747129678726196,0.47471296787261963,17600,0.0,0.0
1980-04-28,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,56000,0.0,0.0
1980-04-29,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,64000,0.0,0.0
1980-04-30,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,4800,0.0,0.0
1980-05-01,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,108800,0.0,0.0
1980-05-02,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,17600,0.0,0.0
1980-05-05,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,48000,0.0,0.0
1980-05-06,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,14400,0.0,0.0
1980-05-07,0.0,0.5053393095731735,0.49002599716186523,0.49002599716186523,32000,0.0,0.0
1980-05-08,0.0,0.5002348874744617,0.4849215745925904,0.48492157459259033,102400,0.0,0.0
1980-05-09,0.0,0.49513064990652367,0.47981733083724976,0.47981733083724976,62400,0.0,0.0
1980-05-12,0.0,0.49002628941689763,0.4747129678726196,0.47471296787261963,17600,0.0,0.0
1980-05-13,0.0,0.49002628941689763,0.4747129678726196,0.47471296787261963,8000,0.0,0.0
1980-05-14,0.0,0.49002628941689763,0.4747129678726196,0.47471296787261963,20800,0.0,0.0
1980-05-15,0.0,0.5053393095731735,0.49002599716186523,0.49002599716186523,140800,0.0,0.0
1980-05-16,0.0,0.5053393095731735,0.49002599716186523,0.49002599716186523,116800,0.0,0.0
1980-05-19,0.0,0.5104437316815877,0.4951304197311401,0.49513041973114014,44800,0.0,0.0
1980-05-20,0.0,0.5053393095731735,0.49002599716186523,0.49002599716186523,134400,0.0,0.0
1980-05-21,0.0,0.5155484609457911,0.5002351403236389,0.5002351403236389,76800,0.0,0.0
1980-05-22,0.0,0.5155484609457911,0.5002351403236389,0.5002351403236389,49600,0.0,0.0
1980-05-23,0.0,0.5206526987480394,0.5053393840789795,0.5053393840789795,38400,0.0,0.0
1980-05-27,0.0,0.5206526987480394,0.5053393840789795,0.5053393840789795,12800,0.0,0.0
1980-05-28,0.0,0.5410700804978898,0.5257567763328552,0.5257567763328552,83200,0.0,0.0
1980-05-29,0.0,0.5308615429566639,0.5155482292175293,0.5155482292175293,57600,0.0,0.0
1980-05-30,0.0,0.5308615429566639,0.5155482292175293,0.5155482292175293,24000,0.0,0.0
1980-06-02,0.0,0.5308615429566639,0.5155482292175293,0.5155482292175293,22400,0.0,0.0
1980-06-03,0.0,0.5257574892044067,0.510444164276123,0.510444164276123,22400,0.0,0.0
1980-06-04,0.0,0.5257574892044067,0.510444164276123,0.510444164276123,30400,0.0,0.0
1980-06-05,0.0,0.5257574892044067,0.510444164276123,0.510444164276123,57600,0.0,0.0
1980-06-06,0.0,0.5257574892044067,0.510444164276123,0.510444164276123,11200,0.0,0.0
1980-06-09,0.0,0.5257574892044067,0.510444164276123,0.510444164276123,38400,0.0,0.0
1980-06-10,0.0,0.5359660877900965,0.5206527709960938,0.5206527709960938,44800,0.0,0.0
1980-06-11,0.0,0.5461748706606718,0.5308615565299988,0.5308615565299988,96000,0.0,0.0
1980-06-12,0.0,0.5512794154030936,0.5359660983085632,0.5359660983085632,16000,0.0,0.0
1980-06-13,0.0,0.5512794154030936,0.5359660983085632,0.5359660983085632,12800,0.0,0.0
1980-06-16,0.0,0.5563838375064561,0.5410705208778381,0.5410705208778381,32000,0.0,0.0
1980-06-17,0.0,0.5614885047217396,0.5461751818656921,0.5461751818656921,6400,0.0,0.0
1980-06-18,0.0,0.5614885047217396,0.5461751818656921,0.5461751818656921,11200,0.0,0.0
1980-06-19,0.0,0.5614885047217396,0.5461751818656921,0.5461751818656921,56000,0.0,0.0
1980-06-20,0.0,0.5563838375064561,0.5410705208778381,0.5410705208778381,49600,0.0,0.0
1980-06-23,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,36800,0.0,0.0
1980-06-24,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,25600,0.0,0.0
1980-06-25,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,3200,0.0,0.0
1980-06-26,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,94400,0.0,0.0
1980-06-27,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,12800,0.0,0.0
1980-06-30,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,20800,0.0,0.0
1980-07-01,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,22400,0.0,0.0
1980-07-02,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,6400,0.0,0.0
1980-07-03,0.0,0.5665925592184067,0.5512792468070984,0.5512792468070984,59200,0.0,0.0
1980-07-07,0.0,0.56659282987768,0.5614883899688721,0.5614883899688721,30400,0.0,0.0
1980-07-08,0.0,0.5819059167288045,0.5768014788627625,0.5768014788627625,49600,0.0,0.0
1980-07-09,0.0,0.6074279087074732,0.6023234724998474,0.6023234724998474,182400,0.0,0.0
1980-07-10,0.0,0.6074279087074732,0.6023234724998474,0.6023234724998474,60800,0.0,0.0
1980-07-11,0.0,0.6074279087074732,0.6023234724998474,0.6023234724998474,28800,0.0,0.0
1980-07-14,0.0,0.6176369940241179,0.6125325560569763,0.6125325560569763,96000,0.0,0.0
1980-07-15,0.0,0.6176369940241179,0.6125325560569763,0.6125325560569763,27200,0.0,0.0
1980-07-16,0.0,0.6278456586306213,0.6227412223815918,0.6227412223815918,76800,0.0,0.0
1980-07-17,0.0,0.6380545035485298,0.6329500675201416,0.6329500675201416,417600,0.0,0.0
1980-07-18,0.0,0.643158939576918,0.6329500675201416,0.6329500675201416,44800,0.0,0.0
1980-07-21,0.0,0.6482633756053063,0.6329500675201416,0.6329500675201416,33600,0.0,0.0
1980-07-22,0.0,0.6482634224891662,0.6380545496940613,0.6380545496940613,40000,0.0,0.0
1980-07-23,0.0,0.6482634224891662,0.6380545496940613,0.6380545496940613,22400,0.0,0.0
1980-07-24,0.0,0.6482634224891662,0.6380545496940613,0.6380545496940613,72000,0.0,0.0
1980-07-25,0.0,0.6533677237374442,0.6431588530540466,0.6431588530540466,115200,0.0,0.0
1980-07-28,0.0,0.6737859579233023,0.6635770797729492,0.6635770797729492,83200,0.0,0.0
1980-07-29,0.0,0.7044124159499677,0.6993079781532288,0.6993079781532288,120000,0.0,0.0
1980-07-30,0.0,0.7248302858772007,0.7197258472442627,0.7197258472442627,108800,0.0,0.0
1980-07-31,0.0,0.7299347245101387,0.7197258472442627,0.7197258472442627,273600,0.0,0.0
1980-08-01,0.0,0.7401435691993553,0.7299346923828125,0.7299346923828125,217600,0.0,0.0
1980-08-04,0.0,0.7401435691993553,0.7299346923828125,0.7299346923828125,57600,0.0,0.0
1980-08-05,0.0,0.7401435691993553,0.7299346923828125,0.7299346923828125,148800,0.0,0.0
1980-08-06,0.0,0.7401435691993553,0.7299346923828125,0.7299346923828125,67200,0.0,0.0
1980-08-07,0.0,0.735039130791084,0.7299346923828125,0.7299346923828125,243200,0.0,0.0
1980-08-08,0.0,0.7452476289537218,0.7350387573242188,0.7350387573242188,67200,0.0,0.0
1980-08-11,0.0,0.7554566406068348,0.7503522038459778,0.7503522038459778,120000,0.0,0.0
1980-08-12,0.0,0.7503523981734498,0.7452479600906372,0.7452479600906372,60800,0.0,0.0
1980-08-13,0.0,0.7248299998896464,0.7146211266517639,0.7146211266517639,305600,0.0,0.0
1980-08-14,0.0,0.7146212760952936,0.7044124007225037,0.7044124007225037,64000,0.0,0.0
1980-08-15,0.0,0.7197255170602593,0.7095166444778442,0.7095166444778442,59200,0.0,0.0
1980-08-18,0.0,0.683994500022946,0.6737856268882751,0.6737856268882751,204800,0.0,0.0
1980-08-19,0.0,0.6737860013510435,0.6686815619468689,0.6686815619468689,211200,0.0,0.0
1980-08-20,0.0,0.6737860013510435,0.6686815619468689,0.6686815619468689,91200,0.0,0.0
1980-08-21,0.0,0.6788900634556106,0.6737856268882751,0.6737856268882751,59200,0.0,0.0
1980-08-22,0.0,0.6942033447436432,0.683994472026825,0.683994472026825,62400,0.0,0.0
1980-08-25,0.0,0.6942033447436432,0.683994472026825,0.683994472026825,24000,0.0,0.0
1980-08-26,0.0,0.683994500022946,0.6737856268882751,0.6737856268882751,28800,0.0,0.0
1980-08-27,0.0,0.6737859579233023,0.6635770797729492,0.6635770797729492,248000,0.0,0.0
1980-08-28,0.0,0.6737856088682663,0.6584722995758057,0.6584722995758057,54400,0.0,0.0
1980-08-29,0.0,0.6686811724374461,0.6584722995758057,0.6584722995758057,46400,0.0,0.0
1980-09-02,0.0,0.6737860013510435,0.6686815619468689,0.6686815619468689,65600,0.0,0.0
1980-09-03,0.0,0.678890440755218,0.6686815619468689,0.6686815619468689,25600,0.0,0.0
1980-09-04,0.0,0.6839947261308369,0.6788902878761292,0.6788902878761292,70400,0.0,0.0
1980-09-05,0.0,0.6839947261308369,0.6788902878761292,0.6788902878761292,73600,0.0,0.0
